1880,2,р-н им.Казыбек би г.Караганды  Центральный ОП,ст.188 ч.1,12/10/18 16:20,АЛИХАНОВА,null,795116.2132,5525730.977
1880,2,УВД г.Байконыр,ст.188 ч.2,3/9/18 17:00,5 мкр,27,56893.2127,5069421.384
1900,1,УВД Наурызбайского района ДВД города Алматы,ст.190 ч.1,4/24/18 11:00,null,null,1133616.482,4815701.224
1900,2,УВД района Есиль,ст.190 ч.2,5/30/18 15:15,САРАЙШЫҚ,13-Jan,670425.0762,5667647.025
1050,2,г.Кокшетау УВД,ст.105 ч.1,12/10/18 20:17,ГРОМОВОЙ,100,524506.874,5901393.729
1880,2,г.Тараз МВД Центральный район (ОП-2),ст.188 ч.2,12/10/18 1:00,БАЙЗАК БАТЫРА,62,695076.2649,4751506.894
1060,3,Осакаровский район МВД,ст.106 ч.1,12/9/18 23:00,МИРА,29А,819714.1339,5628914.985
1880,2,Енбекшиказахский район МВД,ст.188 ч.1,12/8/18 17:00,Жыбек Жолы,null,1246522.401,4869144.557
1880,2,Саздинский ОП г.Актобе,ст.188 ч.2,12/9/18 18:30,null,null,-338252.2823,5636245.494
1880,2,р-н им.Казыбек би г.Караганды  Юго-Восточный  ОП,ст.188 ч.1,12/7/18 20:00,ЖАКАНА СМАКОВА,1,801160.0184,5521784.952
1880,2,РУВД Бостандыкского района,ст.188 ч.1,12/10/18 3:32,null,null,1143859.919,4809773.108
1900,2,р-н им.Казыбек би г.Караганды  Центральный ОП,ст.190 ч.2,10/23/18 12:00,БУХАР ЖЫРАУ,86,794524.2741,5524068.257
1900,3,р-н им.Казыбек би г.Караганды  Юго-Восточный  ОП,ст.190 ч.3,12/10/18 10:00,ГАПЕЕВА,7,799314.665,5521097.173
1910,2,Илекский ОП УВД,ст.191 ч.1,12/9/18 1:30,Ж.КЕРЕЕВА,1,-338377.8302,5636799.237
1900,1,Иртышский ОП г.Усть-Каменогорск,ст.190 ч.1,12/9/18 21:00,ЕГОРОВА,6,1482461.017,5632750.361
1880,2,ГОВД г.Риддер МВД,ст.188 ч.2,12/10/18 2:00,ЛУГОВАЯ,80,1521401.191,5672325.129
2960,1,Шиелийский район МВД,ст.296 ч.2,12/10/18 16:00,Бакіров,жоқ,321187.6284,4892226.043
2960,1,Шиелийский район МВД,ст.296 ч.2,12/10/18 19:50,МҰСТАФА ШОҚАЙ,5,319120.3673,4892702.767
1880,2,г.Кызылорда МВД,ст.188 ч.2,12/10/18 22:30,ЖЕНИС,104,224850.1327,4970200.117
2930,1,г.Рудный МВД,ст.293 ч.1,12/10/18 10:20,ЛЕНИНА,46,105340.4567,5884451.845
1880,2,р-н им.Казыбек би г.Караганды  Юго-Восточный  ОП,ст.188 ч.1,12/10/18 10:00,ГАПЕЕВА,2-Mar,799224.6191,5521277.807
1880,2,г.Сатпаев МВД,ст.188 ч.1,12/7/18 18:18,АКАДЕМИКА КАНЫША САТПАЕВА,122/1,389861.3037,5307062.112
1880,2,Сайрамский РУВД,ст.188 ч.1,12/5/18 10:00,null,null,584831.0784,4695115.82
1880,2,УВД района Есиль,ст.188 ч.1,12/10/18 18:00,КАБАНБАЙ БАТЫРА,null,669291.5089,5668965.965
1880,2,Иртышский ОП г.Усть-Каменогорск,ст.188 ч.1,12/9/18 20:00,МЫЗЫ,2,1477114.133,5623730.879
1880,2,Иртышский ОП г.Усть-Каменогорск,ст.188 ч.1,12/7/18 10:00,КАЗАХСТАН,70,1476219.825,5622607.733
1880,2,Аксуский район МВД,ст.188 ч.2,12/10/18 12:00,null,null,1316439.402,5103979.162
1880,2,г.Тараз МВД Заводской район (ОП-1),ст.188 ч.1,12/11/18 0:25,САЛТАНАТ,15,691744.69,4750885.265
